,,score,score,score,short review,short review,short review,,,,,
Model,Source,mse,mae,rmse,Sentence Similarity,Sentiment MAE,Bleu Score,Confusion Matrix,Distribution Score GT,Distribution Score Model,Total scores,Total review
qwen2.5_32b,unstructured_context,2.33,1.21,1.53,0.46,0.92,0.15,"[[53, 87, 39, 18, 0], [14, 93, 47, 26, 0], [8, 106, 84, 28, 0], [15, 122, 121, 63, 0], [4, 77, 104, 51, 0]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 94, 2: 485, 3: 395, 4: 186, 5: 0}",1160,1160
qwen2.5_32b,questionnaires,2.35,1.22,1.53,0.46,0.99,0.15,"[[51, 107, 35, 4, 0], [15, 104, 55, 6, 0], [5, 121, 87, 13, 0], [11, 131, 150, 29, 0], [2, 103, 109, 22, 0]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 84, 2: 566, 3: 436, 4: 74, 5: 0}",1160,1160
qwen2.5_32b,both,2.24,1.17,1.50,0.46,0.94,0.15,"[[60, 98, 30, 9, 0], [16, 107, 47, 10, 0], [10, 114, 86, 16, 0], [16, 129, 120, 56, 0], [2, 85, 102, 47, 0]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 104, 2: 533, 3: 385, 4: 138, 5: 0}",1160,1160
qwen2.5_32b,only_fcq,2.09,1.17,1.45,0.44,0.96,0.14,"[[2, 49, 120, 26, 0], [0, 46, 104, 30, 0], [0, 42, 138, 45, 0], [3, 62, 173, 83, 0], [0, 30, 141, 65, 0]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 5, 2: 229, 3: 676, 4: 249, 5: 0}",1159,1159
qwen2.5_32b,only_jc,2.53,1.26,1.59,0.46,0.98,0.15,"[[63, 97, 32, 5, 0], [19, 104, 51, 6, 0], [10, 122, 78, 16, 0], [14, 149, 131, 27, 0], [9, 111, 93, 23, 0]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 115, 2: 583, 3: 385, 4: 77, 5: 0}",1160,1160
deepseek-r1_70b,unstructured_context,2.37,1.16,1.54,0.45,0.85,0.14,"[[70, 31, 39, 46, 11], [22, 35, 50, 46, 27], [18, 35, 68, 73, 32], [22, 41, 74, 122, 62], [6, 24, 70, 80, 56]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 138, 2: 166, 3: 301, 4: 367, 5: 188}",1160,1160
deepseek-r1_70b,questionnaires,2.29,1.11,1.51,0.45,0.82,0.14,"[[92, 25, 29, 37, 14], [35, 33, 51, 51, 10], [27, 32, 50, 89, 28], [22, 40, 70, 134, 55], [18, 24, 39, 92, 63]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 194, 2: 154, 3: 239, 4: 403, 5: 170}",1160,1160
deepseek-r1_70b,both,2.29,1.11,1.51,0.46,0.78,0.14,"[[91, 39, 27, 31, 9], [35, 33, 47, 49, 16], [27, 30, 66, 78, 25], [29, 51, 51, 129, 61], [18, 23, 46, 92, 57]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 200, 2: 176, 3: 237, 4: 379, 5: 168}",1160,1160
deepseek-r1_70b,only_fcq,2.94,1.31,1.71,0.43,0.91,0.13,"[[4, 11, 50, 88, 44], [5, 17, 43, 76, 39], [7, 12, 47, 111, 49], [4, 20, 58, 152, 87], [1, 13, 43, 85, 94]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 21, 2: 73, 3: 241, 4: 512, 5: 313}",1160,1160
deepseek-r1_70b,only_jc,2.47,1.18,1.57,0.44,0.84,0.14,"[[93, 32, 27, 27, 13], [41, 33, 54, 39, 13], [38, 28, 50, 81, 27], [40, 49, 53, 112, 67], [15, 35, 53, 78, 54]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 227, 2: 177, 3: 237, 4: 337, 5: 174}",1152,1152
deepseek-r1_32b,unstructured_context,2.19,1.13,1.48,0.45,0.87,0.13,"[[53, 54, 62, 22, 6], [16, 58, 63, 32, 11], [11, 50, 103, 52, 10], [21, 54, 127, 93, 26], [8, 37, 92, 70, 29]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 109, 2: 253, 3: 447, 4: 269, 5: 82}",1160,1160
deepseek-r1_32b,questionnaires,2.40,1.20,1.55,0.45,0.95,0.13,"[[72, 47, 49, 25, 4], [21, 57, 71, 25, 6], [16, 58, 85, 54, 13], [19, 85, 115, 90, 12], [14, 52, 94, 69, 7]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 142, 2: 299, 3: 414, 4: 263, 5: 42}",1160,1160
deepseek-r1_32b,both,2.12,1.13,1.45,0.46,0.89,0.14,"[[78, 53, 45, 20, 1], [24, 53, 66, 32, 5], [25, 55, 81, 54, 11], [17, 66, 135, 84, 19], [9, 31, 111, 71, 14]]","{1: 197, 2: 180, 3: 226, 4: 321, 5: 236}","{1: 153, 2: 258, 3: 438, 4: 261, 5: 50}",1160,1160
